"specimen_id","id_institution","id_collection","institution_code","collection_code","dataset_id","type_collection","decimal_latitude","decimal_longitude","title","vernacular_name","collection_name_full1","type_status1","url_logo_collection","parent_collection_name_full","main_collection_responsible","collection_name_full","collection_responsible","institution_name_full","parent_institution_name_full","occurrence_id","catalog_number","other_catalog_numbers","type","preparations","type_status","kingdom","phylum","class","order","family","genus","subgenus","specie","taxon_scientific_name","scientific_name","name_according_to","identified_by","date_identified","recorded_by","record_number","field_number","event_date","sampling_protocol","sampling_effort","individual_count","sex","life_stage","reproductive_condition","behavior","establishment_means","dynamic_properties","habitat","country_full","state_province","county","locality","island_group","island","water_body","coordinates","elevation","depth","earliest_eon_or_lowest_eonothem","latest_eon_or_highest_eonothem","earliest_era_or_lowest_erathem","latest_era_or_highest_erathem","earliest_period_or_lowest_system","latest_period_or_highest_system","earliest_epoch_or_lowest_series","latest_epoch_or_highest_series","earliest_age_or_lowest_stage","latest_age_or_highest_stage","lowest_biostratigraphic_zone","highest_biostratigraphic_zone","lithostratigraphic_terms","group","formation","member","bed","data_generalizations","information_withheld","occurrence_remarks","how_to_cite_source","publication_policy","modified","access_conditions","source","solr_event_date_start","solr_event_date_finish","solr_date_identified","solr_modified","institution_name","alternative_name","country","biological_group"
"1157930","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42885","42885",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1157932","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42886","42886",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","L. Vázquez","LVGMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1130324","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42887","42887",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1130325","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42888","42888",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","R. Sánchez","RSSMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1156456","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42889","42889",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1157927","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42890","42890",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","R. Sánchez","RSSMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1163164","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42891","42891",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","L. Vázquez","LVGMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1143126","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas",,,"%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42892","42892",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHCchiv82214",,"1982-02-14",,,"1",,,,,,,,"México (MX)","Michoacán","Angangueo","Cerro El Chivatito, Sierra Campanario, M. Ocampo",,,,,"3000",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1982-02-14",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1157650","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas","19.772","-100.301","%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42893","42893",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHRinco79121",,"1979-01-21",,,"1",,,,,,,,"México (MX)","Michoacán","Senguio","Rincon Villalobos, Sierra Chincua, Angangueo",,,,"Latitud: 19.772° | Longitud: -100.301°","2200",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1979-01-21",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1155004","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas","19.772","-100.301","%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42894","42894",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","L. Vázquez","LVGMICHRinco79121",,"1979-01-21",,,"1",,,,,,,,"México (MX)","Michoacán","Senguio","Rincon Villalobos, Sierra Chincua, Angangueo",,,,"Latitud: 19.772° | Longitud: -100.301°","2200",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1979-01-21",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1157671","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas","19.772","-100.301","%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42895","42895",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","L. Vázquez","LVGMICHRinco79121",,"1979-01-21",,,"1",,,,,,,,"México (MX)","Michoacán","Senguio","Rincon Villalobos, Sierra Chincua, Angangueo",,,,"Latitud: 19.772° | Longitud: -100.301°","2200",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1979-01-21",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1157628","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas","19.772","-100.301","%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42896","42896",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHRinco79121",,"1979-01-21",,,"1",,,,,,,,"México (MX)","Michoacán","Senguio","Rincon Villalobos, Sierra Chincua, Angangueo",,,,"Latitud: 19.772° | Longitud: -100.301°","2200",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1979-01-21",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1157673","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas","19.772","-100.301","%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42897","42897",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","L. Vázquez","LVGMICHRinco79121",,"1979-01-21",,,"1",,,,,,,,"México (MX)","Michoacán","Senguio","Rincon Villalobos, Sierra Chincua, Angangueo",,,,"Latitud: 19.772° | Longitud: -100.301°","2200",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1979-01-21",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
"1155002","14","83","IBUNAM","CNIN","IBUNAM:CNIN:LE","Colecciones Biológicas","19.772","-100.301","%%Danaus plexippus plexippus%% (Linnaeus, 1758)",,"Colección Nacional de Insectos (CNIN), Lepidoptera",,,"Colección Nacional de Insectos (CNIN)","Dr. Alejandro Zaldívar Riverón, Curador General; M. en C. María Cristina Mayorga Martínez, Técnico académico","Lepidoptera","Adolfo Ibarra Vázquez, Técnico de Lepidoptera","Departamento de Zoología, Instituto de Biología (IBUNAM)","Universidad Nacional Autónoma de México (UNAM)","IBUNAM:CNIN:LE42898","42898",,"Objeto físico","Alfiler entomológico",,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus","Danaus plexippus","Danaus plexippus plexippus","%%Danaus plexippus plexippus%% (Linnaeus, 1758)","ITIS: 779023","A. Luis M.","1997-12-31","H. Pérez R.","HPRMICHRinco79121",,"1979-01-21",,,"1",,,,,,,,"México (MX)","Michoacán","Senguio","Rincon Villalobos, Sierra Chincua, Angangueo",,,,"Latitud: 19.772° | Longitud: -100.301°","2200",,,,,,,,,,,,,,,,,,,,,,"Departamento de Zoología, Instituto de Biología (IBUNAM), %%Danaus plexippus plexippus%% (Linnaeus, 1758), ejemplar de: Colección Nacional de Insectos (CNIN), Lepidoptera. En %%Portal de Datos Abiertos UNAM%% (en línea), México, Universidad Nacional Autónoma de México.",,"2007-12-10 00:00:00","Para consultas relacionadas con proyectos de investigación, favor de enviar una solicitud a: M en C. María Cristina Mayorga Martínez.  Correo: mayorga #para# ib.unam.mx Para visitas de grupos con fines de educación o difusión, favor de dirigirse a: M en C. María de la Paz Cruickshank Villanueva, encargada de Vinculación del Instituto de Biología.  Correo: vinculacion #para# ib.unam.mx  Tel. 5550 5148 y 5622 9078 Ext. 47839",,"1979-01-21",,"1997-12-31","2007-12-10","Instituto de Biología","Insectos, Instituto de Biología","México","Mariposas"
